JAN M,,,,,,
Reported by: KARUNAKARAN,,,,Reported to: RUGMA,,
Date:04-May-2023,,,,Environment Details:,,
Bug id,Expected Result,Bug Description,Steps to Reproduce,Severity,Priority,SS
DEF_JANM_01,should work hamburger menu,"Hamburger menu's dropdown 
sub menu's not working","1.open the application
2.locate hamburger menu
3.click any sub menu in dropdown menu list",Critical,,https://drive.google.com/file/d/15M5w-ncPtHGszGIQngK0GojguMpOQR2J/view?usp=share_link
DEF_JANM_02,"Hamburger menu icon 
should same all time",Hamburger menu icon changed while clicking,"1.open the application
2.locate hamburger menu and click
",Minor,,
DEF_JANM_03,"Menu should disepper when
 cliking outside of the page","Menu disepper after
 cliking hamburger icon","1.open the application
2.locate hamburger menu and click
3.click outside of the page
4.click hamburger menu icon
",Minor,,
DEF_JANM_04,"should avoid spelling mistakes 
in page","Spelling mistake 
in 'view all services'","1.open the application
2.locate view all services
",Trivial,,https://drive.google.com/file/d/1OUVhxA0BrKNzj6DP9l5xw6ythiU2b2RY/view?usp=share_link
DEF_JANM_05,"should work all links presented
in the web page",view all services link not working,"1.open the application
2.locate view all services link and click
",Major,,
DEF_JANM_06,"Description on the page should 
not duplicate ",Contents of brain and pain are same,"1.open the application
2.locate our services
",Minor,,https://drive.google.com/file/d/1UD1jm_JEDzxCTi3vGS3SidcE-2otE0Zv/view?usp=share_link
DEF_JANM_07,"phone numbers should be 
present with Country code",Country code is not present,"1.open the application
2.locate phone number",Trivial,,
DEF_JANM_08,"Pop up menu should open when 
click appionment contact number","Pop up menu is not open when 
click appionment contact number","1.open the application
2.locate phone number and click",Major,,
DEF_JANM_09,Heading should not duplicate,"Heading of our surgen displayed
 two times","1.open the application
2.locate our surgen",Trivial,,
DEF_JANM_10,view bio link should work,view bio link is not working,"1.open the application
2.locate view bio link and click",Major,,
DEF_JANM_11,"photos in the web page should 
visible clearly",photos in the web page not aligend properly,"1.open the application
2.locate photo",Minor,,
DEF_JANM_13,"Web page should alligend 
properly","Web page not alligend 
properly","1.open the application
2.Check the allignment of contact us and spine",Minor,,
DEF_JANM_14,"plus and minus symbols in map 
should work","plus and minus symbols in map 
not work","1.open the application
2.locate location map and click + and - symbols",Minor,,
DEF_JANM_15,"Social media icons redirect
 to corresponding page","Social media icons not work and not redirect
 to corresponding page","1.open the application
2.locate social media icon and click ",Major,,https://drive.google.com/file/d/1_X3cS8CZmEW7b5NgObYc5l6YKqajwR74/view?usp=share_link